Series Name,Series Code,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Mexico,MEX,..,..,..,12.9,13.7,13.7,14.5,14.5,14.5,14.5,14.5,14.5,14.6,14.6,15.3
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Micronesia, Fed. Sts."",FSM,..,..,..,4.3,4.2,4.2,0,0,0,0,0,0,0,0,0"
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Moldova,MDA,..,..,..,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,11.4,11.4,11.4,11.5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Monaco,MCO,..,..,..,23,23,23,33.2,33.2,33.2,33.2,33.2,10.2,10.2,10.2,20.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Mongolia,MNG,..,..,..,13.8,17.4,17.4,17.4,17.7,17.7,17.7,19.8,19.8,19.8,19.8,19.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Montenegro,MNE,..,..,..,14.6,4.1,4.1,4.1,6.4,6.4,10.5,13.8,13.8,13.9,13.9,21.7
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Morocco,MAR,..,..,..,2.5,100,30.8,30.8,30.8,30.8,30.8,4.3,2.2,2.2,2.2,2.1
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Mozambique,MOZ,..,..,..,18,17.2,19.3,21.6,21.6,21.6,21.6,29.5,29.5,29.5,29.5,29.5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Myanmar,MMR,..,..,..,7.2,7.1,7.1,7.2,7.2,6.4,6.4,6.6,6.6,6.6,6.6,6.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Namibia,NAM,..,..,..,44,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,39.9,39.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Nepal,NPL,..,..,..,17.2,23.5,23.4,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Netherlands,NLD,..,..,..,17.6,11.4,11.3,11.3,11.2,11.2,22.5,22.5,22.5,22.5,22.5,22.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,New Caledonia,NCL,..,..,..,52.9,52.6,54.6,54.4,54,54.4,59.7,59.7,59.7,59.7,59.7,59.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,New Zealand,NZL,..,..,..,27.3,32.5,32.5,32.5,32.5,32.8,32.8,33.4,33.4,33.4,33.4,33.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Nicaragua,NIC,..,..,..,37.2,37.2,37.2,37.2,37.2,37.2,37.2,21.3,21.3,21.3,21.3,21.2
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Niger,NER,..,..,..,16.7,17.3,17.3,17.3,17.3,17.3,17.3,18.2,18.2,18.2,18.2,18.2
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Nigeria,NGA,..,..,..,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9
